POS	exp01	exp10
1077	13.32	34.14
1078	1.333	1.717
1079	3.8	5.201
1080	23.93	23.78
1081	3.681	50.66
1082	5.107	38.34
1083	15.99	47.76
1084	21.98	44.84
1085	17.45	44.88
1086	22.46	19.56
1087	12.27	58.76
1088	12.41	59.07
1089	12.41	59.07
1090	12.41	59.07
1091	8.878	56.41
1092	21.06	65.81
1093	4.69	4.061
1094	20	26.79
1095	11.03	47.65
1096	6.516	2.592
1097	3.373	2.058
1098	9.137	21.68
1099	7.171	20.17
1100	7.512	19.66
1101	7.512	19.66
1102	7.043	25.81
1103	7.043	25.81
1104	2.806	6.512
1105	2.806	6.512
1106	6.109	17.16
1107	7.239	18.13
1108	7.412	12.42
1109	2.028	1.285
1110	2.028	1.285
1111	2.028	1.285
1112	26.03	28.14
1113	22.66	28.32
1114	22.66	28.32
1115	3.198	1.6
1116	10.75	21.86
1117	10.74	20.82
1118	12.01	21.08
1119	10.94	13.93
1120	11.29	11.06
1121	11.29	11.06
1122	11.57	21.4
1123	11.34	25.74
1124	11.35	24.75
1125	7.927	7.696
1126	8.565	11.19
1127	8.565	11.19
1128	12.39	14.76
1129	12.39	14.76
1130	3.506	24.97
1131	7.654	20.45
1132	7.687	20.44
1133	4.891	19.79
1134	14.5	25.59
1135	15.15	38.55
1136	15.15	38.55
1137	8.295	17.69
1138	25.14	46.03
1139	25.14	46.03
1140	3.945	4.198
1141	13.36	21.37
1142	13.36	21.37
1143	2.658	7.142
1144	2.865	7.815
1145	2.646	5.954
1146	2.658	7.142
1147	1.529	0.638
1148	9.031	14.19
1149	8.855	12.71
1150	15.76	25
1151	7.714	26.87
1152	9.807	18.11
1153	2.513	1.794
1154	1.475	1.742
1155	1.475	1.742
1156	1.475	1.742
1157	21.03	30.35
1158	20.69	31.97
1159	2.932	4.601
1160	2.933	3.602
1161	1.26	5.578
1162	2.526	10.32
1163	20.33	19.41
1164	11.11	23.05
1165	20.8	32.01
1166	9.338	53.16
1167	5.763	24.87
1168	14.56	15.7
1169	3.924	22.82
1170	6.882	16.79
1171	18.6	19.54
1172	2.13	36.45
1173	6.243	15.8
1174	6.372	11.1
1175	10.63	45.12
1176	5.505	10.34
1177	3.851	10.03
1178	2.408	6.558
1179	14.15	49.03
1180	6.144	4.685
1181	3.661	8.574
1182	21.06	30.79
1183	9.727	30.76
1184	14.89	24.92
1185	4.73	35.11
1186	1.941	1.437
1187	2.021	1.274
1188	3.778	3.141
1189	2.021	1.274
1190	16.56	19.93
1191	3.23	40.77
1192	25.15	59.5
1193	17.07	61.58
1194	20.88	59.35
1195	16.98	63.56
1196	2.446	7.794
1197	9.186	11.08
1198	15.58	11.57
1199	3.434	2.753
1200	2.017	1.572
1201	31.89	39.83
1202	5.304	5.468
1203	10.44	10.65
1204	8.324	13.78
1205	6.815	43.48
1206	3.388	2.494
1207	5.215	3.393
1208	5.012	22.3
1209	3.803	18.54
1210	7.007	13.63
1211	4.473	13.12
1212	9.083	17.7
1213	16.38	44.34
1214	10.91	15.65
1215	12.53	12.64
1216	1.952	1.077
1217	7.017	8.178
1218	11.45	44.26
1219	13.79	24.54
1220	5.689	4.992
1221	24.8	30.09
1222	9.152	5.541
1223	13.8	37.72
1224	7.017	8.178
1225	3.197	19.35
1226	28.12	34.04
1227	3.437	8.984
1228	25.18	32.64
1229	8.265	31.39
1230	8.761	23.66
1231	4.124	6.78
1232	4.381	3.815
1233	2.326	7.794
1234	15.78	39.07
1235	7.06	19.96
1236	1.721	5.826
1237	2.173	28.16
1238	8.237	49.97
1239	4.426	43.71
1240	3.838	40.08
1241	3.396	7.114
1242	5.828	18.77
