POS	prob01	prob10
682	6.447	32.01
683	8.11	19.4
684	28.3	73.12
685	8.018	35.43
686	25.19	59.97
687	28.75	32.51
688	19.73	40.86
689	2.671	5.344
690	19.63	16.59
691	3.381	13.19
692	4.756	19.86
693	16.15	21.78
694	14.31	18.05
695	1.742	0.8662
696	8.008	4.78
697	26.13	26.89
698	12.92	15.06
699	7.794	57.93
700	2.004	1.628
701	10.34	55.26
702	6.336	26.31
703	4.888	2.502
704	11.57	14.58
705	11.85	7.808
706	13	28.56
707	10.98	17.83
708	4.495	1.944
709	19.29	38.3
710	3.243	49.92
711	8.924	62.96
712	12.47	63.68
713	9.332	37.78
714	12.8	42.58
715	1.866	1.101
716	4.404	2.054
717	16.89	14.32
718	20.6	26.2
719	16.44	26.79
720	5.467	15.39
721	15.14	23.87
722	23.47	16.84
723	11.05	34.49
724	9.594	10.05
725	3.827	22.06
726	11.88	35.47
727	25.72	38.45
728	22.82	19.06
729	11.46	19.52
730	3.33	2.131
731	10.48	10.31
732	2.801	29.66
733	2.844	17.57
734	2.619	9.887
735	0.8353	18.05
736	15.73	11.38
737	3.956	5.182
738	12.46	7.311
739	14.23	33.71
740	9.943	19.55
741	11.87	4.093
742	3.914	2.843
743	2.728	17.17
744	6.885	22.5
745	4.99	26.27
746	20.79	72.74
747	9.496	44.93
748	6.094	19.74
749	9.417	37.12
750	19.49	26.18
751	4.943	2.956
752	6.717	18.83
753	2.83	0.9671
754	11.46	15.63
755	15.28	37
756	8.145	47.6
757	23.19	18.49
758	10.15	7.047
759	28.72	20.21
760	1.685	24.32
761	16.39	51.1
762	5.337	15.11
763	5.719	7.667
764	25.09	56.67
765	9.744	18.69
766	9.154	10.72
767	9.816	28.54
768	6.168	18.92
769	10.37	8.287
770	10.51	16.09
771	1.067	38.45
772	2.024	38.55
773	23.08	30.08
774	4.491	45.14
775	8.697	1.825
776	22.2	31.31
777	24	42.13
778	23.22	28.33
779	3.325	18.98
780	4.953	20.98
781	3.241	17.82
782	5.182	23.57
783	24.21	60.26
784	2.687	1.706
785	5.037	19.64
786	14.76	19.87
787	18.42	22.78
788	19.01	24.16
789	7.989	13.8
790	1.903	1.061
791	22.51	19.32
792	3.827	43.68
793	19.16	29.16
794	27.81	26.36
795	8.148	6.506
796	3.389	2.851
797	9.261	19.84
798	23.01	52.63
799	11.11	36.01
800	8.307	12.74
801	8.307	12.74
802	4.248	22.63
803	7.12	29.86
804	10.88	14.08
805	10.88	54.12
806	15.01	53.83
807	27.16	39.35
808	4.487	21.26
809	2.54	3.301
810	6.47	25.8
811	4.591	35.2
812	2.134	28.9
813	7.15	16.67
814	6.012	16.76
815	24.39	14.21
816	2.067	10.66
817	11.42	11.85
818	3.726	21.24
819	3.505	20.35
